tweetID;userID;createdAt;tweet
1100370888518758400;1097872939951763456;2019-02-26 12:23:58;RT @FlutlichtPR: Spannende Vorträge: Auf der Bühne von @MarktTechTweets und @ElektronikTweet geht es um #IoT, #SmartCity und die passenden…
1100370804943003648;1097872939951763456;2019-02-26 12:23:38;RT @funkschau_de: Pascal Wehrlein im Gespräch mit Matthäus Hose und Ingo Kuss auf der #VIP Bühne von Markt &amp, Technik und Elektronik auf der…
1100347911827795968;1097872939951763456;2019-02-26 10:52:40;#ew19 @ElektronikTweet in Halle 3A, Stand 3A-410 https://t.co/Hf3Mq40Q0o
1100338942283526144;1097872939951763456;2019-02-26 10:17:01;RT @ElektronikNeo: Am Samstag geht es auf die #makemunich2019. Zur Vorbereitung haben wir einen unseren Baukästen ausprobiert, damit wir do…
1100312122196676609;1097872939951763456;2019-02-26 08:30:27;RT @GerhardStelzer: Die embedded world 2019 #ew19 startet. Die Besucher stehen in den Startlöchern... Auf eine erfolgreiche Messe. @Elektro…
1100280511103205376;1097872939951763456;2019-02-26 06:24:50;Auf geht's! Neuer Job, gleiche Messe 😄 #ew19
1098901192284033024;1097872939951763456;2019-02-22 11:03:55;Heute werden die Emojis schon 20 Jahre alt: https://t.co/y4oYX84d0S\nHerzlichen Glückwunsch! 🎉🎂🎈💐🎁🎊🍻 https://t.co/3TTMQyfLPp
1098621077155127296;1097872939951763456;2019-02-21 16:30:50;RT @elektroniknet: Nächste Woche geht´s los: Die VIP-Bühne auf der @embedded_world 2019: Vom 26. bis zum 28. Februar stehen in Nürnberg füh…
1098620286264623107;1097872939951763456;2019-02-21 16:27:42;RT @ElektronikNeo: Wir haben was, was @ElektronikTweet nicht hat: Tolle Shirts und einen Stand auf der @MakeMunich! Kommt also vorbei und l…
1098475678402572288;1097872939951763456;2019-02-21 06:53:05;RT @WevolverApp: “These hands are going to change my life”. Tilly lost her arms as a baby, and now she has two Hero Arms. by @openbionics\n#…
918910572737024000;717094755721736192;2017-10-13 18:45:27;@jesichrn Den Post hab ich nie gesehen
918909858870648832;717094755721736192;2017-10-13 18:42:37;@jesichrn Erinnert mich an CrashUP
918909621552779264;717094755721736192;2017-10-13 18:41:40;@sylencsylenc @einfacheinfinn @jesichrn @easySmuu Du natürlich auch kannte deinen @ aber auch nicht 👌
918909428820267008;717094755721736192;2017-10-13 18:40:54;@Sintexx_ PC Kaputt seid 1 Monat sorryyy
917768292001042433;717094755721736192;2017-10-10 15:06:26;@Schwabe98 Marlon schreib mir mal bitte
916991213101813760;717094755721736192;2017-10-08 11:38:36;@jesichrn Danke 😌
916990754941267969;717094755721736192;2017-10-08 11:36:47;@jesichrn Kannst du mir nen Link schicken wo man das kaufen kann
916976058540412928;717094755721736192;2017-10-08 10:38:23;@jesichrn Haha
916939218458251264;717094755721736192;2017-10-08 08:12:00;@einfacheinfinn Bitte nicht!  🙇
916647314336419840;717094755721736192;2017-10-07 12:52:04;@Gammlaha HAPPY BDAY GROSSER
874744733662404608;717094755721736192;2017-06-13 21:46:11;@einfacheinfinn Finn wir sind glaube ich Seelenverwandte🌹😂
856203513625325568;717094755721736192;2017-04-23 17:49:59;@ruhrpottattacke Okey okey. ,)
854838806926815234;717094755721736192;2017-04-19 23:27:08;@EUDevNet Steht dieses angebot noch von ihnen?.
854739682885873665;717094755721736192;2017-04-19 16:53:15;@ClayzDE @GetVance_DEV  Bezüglich meiner Frage von gerade ebend. Wer sind die jetztigen Inhaber?.
854676374182866944;717094755721736192;2017-04-19 12:41:41;@ClayzDE Account*
854429855613693952;717094755721736192;2017-04-18 20:22:06;@Kleiineralsdrei Welcher?😯
853913810838663168;717094755721736192;2017-04-17 10:11:32;@DominikEnders_ Hoffe dein Tag verläuft gut!😊
853913519011528704;717094755721736192;2017-04-17 10:10:22;@xCookiieeMC Alles gute an die Person die mir sehr wichtig geworden ist.😊
853790018271367168;717094755721736192;2017-04-17 01:59:37;@Clavrax Solltest du jetzt können.
853542155595517952;717094755721736192;2017-04-16 09:34:42;@Clavrax Max, könntest du mir eine DM schreiben habe ein kleines anliegen um es anders auszudrücken eine kleine Frage.😊
852669126501969920;717094755721736192;2017-04-13 23:45:36;@phlppsvh @_qlow @MindMcBuildteam @VortexBuildings Phil ich weiße dich darauf hin das ich LRS habe &amp, mir deine meinung dazu sehr egal ist.
852536987135475712;717094755721736192;2017-04-13 15:00:31;@_qlow Ich kann ihnen nur das @MindMcBuildteam oder das @VortexBuildings Buildteam weiter empfehlen.
852453875080732672;717094755721736192;2017-04-13 09:30:16;@Kleiineralsdrei ❤😂
852450499819425792;717094755721736192;2017-04-13 09:16:51;@Kleiineralsdrei @Verium Du magst die musik doch garnicht?😂😂
852093913351499776;717094755721736192;2017-04-12 09:39:54;@Kleiineralsdrei Standart👌
851738959742996480;717094755721736192;2017-04-11 10:09:27;@discordapp Ich fimd Discord einfach perfekt vorallem das der Support so unheimlich schnell ist👌
851020150476353538;717094755721736192;2017-04-09 10:33:09;@EgyBoy_ okey.😐
851018669459156992;717094755721736192;2017-04-09 10:27:16;@EgyBoy_ Egy sehe ich da etwa die Revelix 2.0😊
851018074388037632;717094755721736192;2017-04-09 10:24:54;@LetzMore @EgyBoy_ eindeutig👌😂
851017323402194945;717094755721736192;2017-04-09 10:21:55;@Kleiineralsdrei Retweetest du eigentlich alles?😌
850400323919372289;717094755721736192;2017-04-07 17:30:11;@Sintexx_ Uhhh
838477359288320000;717094755721736192;2017-03-05 19:52:35;@einfacheinfinn leider net😐
838339685390893056;717094755721736192;2017-03-05 10:45:31;@einfacheinfinn Die ts icons hehe❤😋
838085380909981696;717094755721736192;2017-03-04 17:55:00;@einfacheinfinn TS? :D
